dataset,seed,budget,method,sufficiency_f1,sufficiency_bce,fidelity_l1_to_full_prob,agreement_to_full,deletion_delta_bce,deletion_delta_f1,selected_rules_count,selected_rules_hash,removed_contribution_l1_mean,bce_full,bce_without,f1_full,f1_without,deletion_head_mode,deletion_head_ridge_alpha,surrogate_fidelity_to_full_prob,surrogate_agreement_to_full,effective_selected_rules
covtype_binary_20000,23,100,c_prune_loro_bce,0.7798773006134969,0.46497745771566495,0.042049662256069105,0.95275,0.057640750125101836,0.0024745160295288615,75,af32070447aa,0.6896019480793352,0.479966098532983,0.5376068486580848,0.7765160666827736,0.7740415506532448,ridge,1.0,0.006446375938526172,0.99225,75
covtype_binary_20000,29,25,budget_prune,0.7400503778337532,0.5378510208095663,0.08221859751486758,0.89875,0.016781514556039323,0.02940694171578262,25,84157d50d6c9,0.3538627824007659,0.4930228505694397,0.509804365125479,0.7755402750491159,0.7461333333333333,ridge,1.0,0.006472533275406226,0.99025,25
covtype_binary_20000,29,25,loro_bce,0.7764591910874303,0.4977676696564253,0.042154982093886635,0.9705,0.0934019878570132,0.30173953704173584,25,5340c07aff56,0.817244795034259,0.4930228505694397,0.5864248384264529,0.7755402750491159,0.4738007380073801,ridge,1.0,0.006472533275406226,0.99025,25
covtype_binary_20000,29,25,c_prune_loro_bce,0.7777506708953403,0.4905431185801311,0.0374734625585838,0.971,0.024845991931656652,0.03239143034196923,25,5835cb7e4d2a,0.42406668245390117,0.4930228505694397,0.5178688425010963,0.7755402750491159,0.7431488447071467,ridge,1.0,0.006472533275406226,0.99025,25
covtype_binary_20000,29,50,budget_prune,0.7529055078322385,0.5122334008094755,0.05680177929323038,0.92725,0.020157643223951027,0.03358748534954514,50,dd5ecc52e128,0.37886476945851244,0.4930228505694397,0.5131804937933907,0.7755402750491159,0.7419527896995708,ridge,1.0,0.006472533275406226,0.99025,50
covtype_binary_20000,29,50,loro_bce,0.7735344198491851,0.49234359026511376,0.03804288019250431,0.972,0.15480322820387843,0.5572272394153767,50,1d0f065c2d87,1.050025996139981,0.4930228505694397,0.6478260787733181,0.7755402750491159,0.2183130356337393,ridge,1.0,0.006472533275406226,0.99025,50
covtype_binary_20000,29,50,c_prune_loro_bce,0.780714635340186,0.48815564041922016,0.03604564559714537,0.97025,0.033353803614274036,0.04887176217179667,50,c6bfc8a74ac7,0.4923319941017058,0.4930228505694397,0.5263766541837137,0.7755402750491159,0.7266685128773193,ridge,1.0,0.006472533275406226,0.99025,50
covtype_binary_20000,29,100,budget_prune,0.7624113475177305,0.4997375524258133,0.05011170333126999,0.94575,0.022803880558938838,0.03041083816627632,100,873a7f42ae50,0.39613599574578395,0.4930228505694397,0.5158267311283785,0.7755402750491159,0.7451294368828396,ridge,1.0,0.006472533275406226,0.99025,100
covtype_binary_20000,29,100,loro_bce,0.7782938156929846,0.4896090060416525,0.036724018374969504,0.9725,0.1966482432546532,0.7745151597236418,100,efb97b754fcd,1.2112827547982057,0.4930228505694397,0.6896710938240929,0.7755402750491159,0.0010251153254741158,ridge,1.0,0.006472533275406226,0.99025,100
covtype_binary_20000,29,100,c_prune_loro_bce,0.7814569536423841,0.4832202663428077,0.04002081101424028,0.967,0.03441114345432156,0.05099103787851955,78,5f4a801bd586,0.5003573462922135,0.4930228505694397,0.5274339940237612,0.7755402750491159,0.7245492371705964,ridge,1.0,0.006472533275406226,0.99025,78
