dataset,seed,budget,method,selected_rules,f1,roc_auc,pr_auc
covtype_binary_20000,19,100,lofo_f1_bootstrap_h_lr,100,0.7720515361744301,0.8418216385240775,0.8105198192195804
covtype_binary_20000,19,200,budget_prune_h_lr,200,0.7764937300221293,0.8430001250781738,0.8074159729226509
covtype_binary_20000,19,200,stable_budget_prune_h_lr,200,0.7764937300221293,0.8430001250781738,0.8074159729226509
covtype_binary_20000,19,200,gate_l1_topk_proxy_h_lr,200,0.7759643916913946,0.8472512820512821,0.8178290744886767
covtype_binary_20000,19,200,forward_f1_h_lr,200,0.7764937300221293,0.8430001250781738,0.807416269483771
covtype_binary_20000,19,200,lofo_f1_h_lr,200,0.7745122252408002,0.8442103814884303,0.8136644438035033
covtype_binary_20000,19,200,lofo_f1_bootstrap_h_lr,200,0.7745122252408002,0.8442103814884303,0.8136644438035033
covtype_binary_20000,19,400,budget_prune_h_lr,400,0.7756109602567267,0.8469608505315822,0.8177298469018043
covtype_binary_20000,19,400,stable_budget_prune_h_lr,200,0.7764937300221293,0.8430001250781738,0.8074159729226509
covtype_binary_20000,19,400,gate_l1_topk_proxy_h_lr,400,0.7761046655146877,0.847734584115072,0.8184667869840802
covtype_binary_20000,19,400,forward_f1_h_lr,200,0.7764937300221293,0.8430001250781738,0.807416269483771
covtype_binary_20000,19,400,lofo_f1_h_lr,400,0.7770103601381352,0.8457335834896811,0.8133863969664199
covtype_binary_20000,19,400,lofo_f1_bootstrap_h_lr,400,0.7759428148878481,0.8455202001250781,0.8132971662816588
covtype_binary_20000,23,25,budget_prune_h_lr,25,0.7513980681240467,0.8248350218886804,0.7864541208788127
covtype_binary_20000,23,25,stable_budget_prune_h_lr,25,0.7513980681240467,0.8248350218886804,0.7864541208788127
covtype_binary_20000,23,25,gate_l1_topk_proxy_h_lr,25,0.7806324110671937,0.8558461538461538,0.8283294915126364
covtype_binary_20000,23,25,forward_f1_h_lr,25,0.7688942891859052,0.8370949343339588,0.7997402952299095
covtype_binary_20000,23,25,lofo_f1_h_lr,25,0.7704472448727453,0.846645153220763,0.8121398999290522
covtype_binary_20000,23,25,lofo_f1_bootstrap_h_lr,25,0.7704472448727453,0.846645153220763,0.8121398999290522
covtype_binary_20000,23,50,budget_prune_h_lr,50,0.7558257345491388,0.8294924327704817,0.7813434657804315
covtype_binary_20000,23,50,stable_budget_prune_h_lr,50,0.7558257345491388,0.8294924327704817,0.7813434657804315
covtype_binary_20000,23,50,gate_l1_topk_proxy_h_lr,50,0.7828444663544492,0.8579464665415886,0.8311660735272342
covtype_binary_20000,23,50,forward_f1_h_lr,50,0.7740209194843104,0.8421823639774859,0.8078633345627102
covtype_binary_20000,23,50,lofo_f1_h_lr,50,0.772783099975436,0.850550343964978,0.8176335599052954
covtype_binary_20000,23,50,lofo_f1_bootstrap_h_lr,50,0.77226745620528,0.850379737335835,0.815473341837448
covtype_binary_20000,23,100,budget_prune_h_lr,100,0.7592592592592593,0.8398439024390245,0.8019225067731228
covtype_binary_20000,23,100,stable_budget_prune_h_lr,100,0.7592592592592593,0.8398439024390245,0.8019225067731228
