dataset,seed,budget,method,corr_threshold,n_clusters,effective_selected_rules,f1,roc_auc,pr_auc,fidelity,agreement
covtype_binary_20000,7,25,c_prune_loro_bce,0.9,109,25,0.6702731944820124,0.7671739837398374,0.7508831755582825,0.2089512840153156,0.745
covtype_binary_20000,7,50,budget_prune,na,,50,0.7456852791878172,0.8227824890556598,0.7750241376290105,0.16799030501514822,0.82625
covtype_binary_20000,7,50,loro_bce,na,,50,0.748913568324481,0.8078023764853034,0.7536532713151605,0.1691126469808305,0.82275
covtype_binary_20000,7,50,c_prune_loro_bce,0.75,91,50,0.7725794345759319,0.8548512820512819,0.8315852332177073,0.09566900149063481,0.893
covtype_binary_20000,7,50,c_prune_loro_bce,0.85,101,50,0.7773904382470119,0.8586959349593497,0.8318482547609163,0.08791620992966918,0.90325
covtype_binary_20000,7,50,c_prune_loro_bce,0.9,109,50,0.7776944236059015,0.8578036272670417,0.833522324873648,0.09376644952438594,0.8945
covtype_binary_20000,7,100,budget_prune,na,,100,0.7591609805408137,0.83226191369606,0.7894982863709632,0.15755653068063863,0.8425
covtype_binary_20000,7,100,loro_bce,na,,100,0.781038374717833,0.855224015009381,0.8286172224370671,0.10087462464359265,0.89
covtype_binary_20000,7,100,c_prune_loro_bce,0.75,91,91,0.784677015523285,0.861834396497811,0.8392579035384871,0.08773694443117748,0.90075
covtype_binary_20000,7,100,c_prune_loro_bce,0.85,101,100,0.786,0.8637808630393995,0.8407748658028908,0.08104397870481299,0.90275
covtype_binary_20000,7,100,c_prune_loro_bce,0.9,109,100,0.7849113165126156,0.8643842401500939,0.8437071360906363,0.07631017456225034,0.91
covtype_binary_20000,13,25,budget_prune,na,,25,0.7406844106463878,0.8084737961225767,0.7557300100003871,0.18969233298123522,0.81575
covtype_binary_20000,13,25,loro_bce,na,,25,0.4875536480686695,0.559293808630394,0.5358884618338935,0.33981214732514137,0.53825
covtype_binary_20000,13,25,c_prune_loro_bce,0.75,92,25,0.778305423644089,0.8503449656035021,0.812026857391192,0.13644807929422836,0.86575
covtype_binary_20000,13,25,c_prune_loro_bce,0.85,108,25,0.7803425167535368,0.8478136335209505,0.8089639362289547,0.14073802877333494,0.86375
covtype_binary_20000,13,25,c_prune_loro_bce,0.9,120,25,0.7811180124223602,0.8478426516572858,0.8096612366848307,0.14053349016815886,0.86525
covtype_binary_20000,13,50,budget_prune,na,,50,0.7489837398373984,0.824032020012508,0.7806955981266887,0.17102978169074923,0.837
covtype_binary_20000,13,50,loro_bce,na,,50,0.7433714424714182,0.8153248280175109,0.7921057281082448,0.18519241266321917,0.81175
covtype_binary_20000,13,50,c_prune_loro_bce,0.75,92,50,0.7853535353535354,0.8691677298311443,0.8409826029904852,0.09600847910905203,0.9005
covtype_binary_20000,13,50,c_prune_loro_bce,0.85,108,50,0.7891430007539583,0.8707577235772358,0.8452870582451573,0.09631348523945138,0.89975
covtype_binary_20000,13,50,c_prune_loro_bce,0.9,120,50,0.7957852483692925,0.8736302689180738,0.8497050364617733,0.10076354903966038,0.8945
covtype_binary_20000,13,100,budget_prune,na,,100,0.7548895097790196,0.8340477798624141,0.8057186366809213,0.16279653946750763,0.84025
covtype_binary_20000,13,100,loro_bce,na,,100,0.7834894910103823,0.8639812382739211,0.841646075645838,0.10775348516923819,0.89125
covtype_binary_20000,13,100,c_prune_loro_bce,0.75,92,92,0.7921291624621595,0.8744595372107568,0.8503181539629993,0.09144637090738017,0.9075
covtype_binary_20000,13,100,c_prune_loro_bce,0.85,108,100,0.7932254802831142,0.875827392120075,0.8525499528017033,0.09030689848617854,0.908
covtype_binary_20000,13,100,c_prune_loro_bce,0.9,120,100,0.7963663890991673,0.8762596622889305,0.8534245184646304,0.0895433766541572,0.90925
covtype_binary_20000,19,25,budget_prune,na,,25,0.7379679144385026,0.8145708567854909,0.768939340055506,0.08076178388382003,0.927
covtype_binary_20000,19,25,loro_bce,na,,25,0.7411764705882353,0.8112235146966854,0.7710435919387395,0.07908252891874631,0.93875
covtype_binary_20000,19,25,c_prune_loro_bce,0.75,77,25,0.7247956403269755,0.8064685428392745,0.7861676407430009,0.09577662241686119,0.92775
covtype_binary_20000,19,25,c_prune_loro_bce,0.85,94,25,0.7028682818156502,0.7870426516572859,0.7748345510219103,0.11753064411561408,0.892
covtype_binary_20000,19,25,c_prune_loro_bce,0.9,107,25,0.7051637978900611,0.7865218261413384,0.7730200872700275,0.11703297501809291,0.89575
covtype_binary_20000,19,50,budget_prune,na,,50,0.7469450101832994,0.8236740462789244,0.783656906377848,0.06949491587014167,0.93325
covtype_binary_20000,19,50,loro_bce,na,,50,0.7650938609842719,0.8336660412757974,0.8017617944975317,0.057780535326819614,0.95925
covtype_binary_20000,19,50,c_prune_loro_bce,0.75,77,50,0.7703777335984096,0.8411234521575985,0.8128092247815566,0.05933170442625815,0.94425
covtype_binary_20000,19,50,c_prune_loro_bce,0.85,94,50,0.7733598409542743,0.8408367729831145,0.8122722999976892,0.055921398518353954,0.94575
covtype_binary_20000,19,50,c_prune_loro_bce,0.9,107,50,0.7713226205191595,0.8419272045028143,0.8137235884783685,0.05641690343165317,0.943
covtype_binary_20000,19,100,budget_prune,na,,100,0.7551803530314658,0.8323357098186367,0.7926926112401014,0.06397285973677826,0.951
covtype_binary_20000,19,100,loro_bce,na,,100,0.767523953605648,0.835423139462164,0.8056710403882819,0.055727582842637235,0.95725
covtype_binary_20000,19,100,c_prune_loro_bce,0.75,77,77,0.7696503843292835,0.8422614133833646,0.8135882806827333,0.06076250705447174,0.9385
covtype_binary_20000,19,100,c_prune_loro_bce,0.85,94,94,0.7725810442959663,0.8431527204502816,0.812023643285179,0.0617030960117088,0.9365
covtype_binary_20000,19,100,c_prune_loro_bce,0.9,107,100,0.7770353872803761,0.8447799874921826,0.8127356451925805,0.062356628137348734,0.9365
covtype_binary_20000,23,25,budget_prune,na,,25,0.7513980681240467,0.8248350218886804,0.7864541208788127,0.07814211027658453,0.8995
covtype_binary_20000,23,25,loro_bce,na,,25,0.7243101182654402,0.7986931832395247,0.7807001385825909,0.12161387524892578,0.85375
covtype_binary_20000,23,25,c_prune_loro_bce,0.75,75,25,0.7644882860665845,0.8394541588492808,0.8068417826338705,0.05484689138877243,0.93975
covtype_binary_20000,23,25,c_prune_loro_bce,0.85,90,25,0.7608267716535433,0.8372052532833021,0.8029852127018247,0.05951924537757654,0.9325
covtype_binary_20000,23,25,c_prune_loro_bce,0.9,103,25,0.7695492180312787,0.8199507191994996,0.7608482326707116,0.0840555372588858,0.9175
covtype_binary_20000,23,50,budget_prune,na,,50,0.7558257345491388,0.8294924327704817,0.7813434657804315,0.06776282800157182,0.912
covtype_binary_20000,23,50,loro_bce,na,,50,0.7534316217590239,0.8351352095059412,0.8070154528598203,0.06880326362412492,0.9265
covtype_binary_20000,23,50,c_prune_loro_bce,0.75,75,50,0.7740514075887392,0.8532873045653533,0.8249042058714061,0.03471588160629005,0.96725
covtype_binary_20000,23,50,c_prune_loro_bce,0.85,90,50,0.7751595483554247,0.8532160100062539,0.8249123984417214,0.03481788256243606,0.968
covtype_binary_20000,23,50,c_prune_loro_bce,0.9,103,50,0.7726939075116223,0.8527454659161976,0.824260458127135,0.035522340993412185,0.96725
covtype_binary_20000,23,100,budget_prune,na,,100,0.7592592592592593,0.8398439024390245,0.8019225067731228,0.05605391952412547,0.933
covtype_binary_20000,23,100,loro_bce,na,,100,0.7687376725838264,0.8504137585991245,0.8255577980097055,0.04640218189668657,0.952
covtype_binary_20000,23,100,c_prune_loro_bce,0.75,75,75,0.7772046180299681,0.8553068167604754,0.828490892099091,0.03875486529205719,0.96325
covtype_binary_20000,23,100,c_prune_loro_bce,0.85,90,90,0.7789266371245692,0.8561328330206379,0.8282880274456883,0.03892517910650131,0.96
covtype_binary_20000,23,100,c_prune_loro_bce,0.9,103,100,0.782117415868337,0.8562881801125704,0.8287394651857737,0.04037805712495894,0.96025
covtype_binary_20000,29,25,budget_prune,na,,25,0.7404983639567078,0.8033458411507192,0.7455220412786968,0.08253146926672159,0.8995
covtype_binary_20000,29,25,loro_bce,na,,25,0.7746478873239436,0.8301933708567856,0.7905285101425545,0.05505856080605969,0.95275
covtype_binary_20000,29,25,c_prune_loro_bce,0.75,78,25,0.7760971981155468,0.8281118198874297,0.7894556125207634,0.051615074106691,0.9555
covtype_binary_20000,29,25,c_prune_loro_bce,0.85,92,25,0.778160354156419,0.829446904315197,0.7900852984046552,0.04931671894832452,0.96075
covtype_binary_20000,29,25,c_prune_loro_bce,0.9,105,25,0.778160354156419,0.829446904315197,0.7900852984046552,0.04931671894832452,0.96075
covtype_binary_20000,29,50,budget_prune,na,,50,0.7538578294965849,0.8251104440275172,0.7821280185650983,0.05714079587232787,0.9265
covtype_binary_20000,29,50,loro_bce,na,,50,0.7788907891522111,0.8369623514696685,0.796274386214051,0.04096525933417262,0.9665
covtype_binary_20000,29,50,c_prune_loro_bce,0.75,78,50,0.7808085728202631,0.84014684177611,0.7961021064067964,0.033811404367606004,0.97025
covtype_binary_20000,29,50,c_prune_loro_bce,0.85,92,50,0.7813184140111895,0.8395312070043779,0.7952703686463186,0.03244491828599756,0.974
covtype_binary_20000,29,50,c_prune_loro_bce,0.9,105,50,0.7805948317893711,0.8385951219512195,0.7943164633461679,0.03264792245835235,0.97325
covtype_binary_20000,29,100,budget_prune,na,,100,0.7608200455580866,0.834713195747342,0.7932074332094168,0.05078504351342219,0.9465
covtype_binary_20000,29,100,loro_bce,na,,100,0.7793221165569373,0.8390956848030019,0.7963245182825128,0.037832972499472275,0.969
covtype_binary_20000,29,100,c_prune_loro_bce,0.75,78,78,0.7867090153921329,0.843193746091307,0.8007284503639266,0.03842917105068068,0.963
covtype_binary_20000,29,100,c_prune_loro_bce,0.85,92,92,0.7857491459248414,0.8433791119449655,0.8016059482913087,0.03851124666386767,0.96425
covtype_binary_20000,29,100,c_prune_loro_bce,0.9,105,100,0.7816261360845002,0.8440818011257035,0.8038342906086656,0.039714201076829825,0.961
covtype_binary_20000,31,25,budget_prune,na,,25,0.7400703871292107,0.8021405878674173,0.7476470605006857,0.16274115888754914,0.8365
covtype_binary_20000,31,25,loro_bce,na,,25,0.6307996051332675,0.6721115697310819,0.6068781993129613,0.26679396679827266,0.652
covtype_binary_20000,31,25,c_prune_loro_bce,0.75,91,25,0.7419279907084785,0.8009633520950594,0.7641013915870615,0.1599906114298506,0.81075
covtype_binary_20000,31,25,c_prune_loro_bce,0.85,102,25,0.7419279907084785,0.8009633520950594,0.7641013915870615,0.1599906114298506,0.81075
covtype_binary_20000,31,25,c_prune_loro_bce,0.9,110,25,0.7444444444444445,0.7992360225140713,0.7548411458089077,0.16100809608240882,0.817
covtype_binary_20000,31,50,budget_prune,na,,50,0.744621614781068,0.8120525328330206,0.7621907798261085,0.15231769903363016,0.83475
covtype_binary_20000,31,50,loro_bce,na,,50,0.744294364229157,0.7937203252032521,0.7540239458956259,0.1658896153827855,0.818
covtype_binary_20000,31,50,c_prune_loro_bce,0.75,91,50,0.7924249877029022,0.8637946216385239,0.8430062697720669,0.08036783603363497,0.9225
covtype_binary_20000,31,50,c_prune_loro_bce,0.85,102,50,0.7928149606299213,0.8637653533458411,0.8432224676173453,0.08025261106435608,0.921
covtype_binary_20000,31,50,c_prune_loro_bce,0.9,110,50,0.787580088713652,0.8566338961851157,0.8297696604065282,0.09128691735614228,0.901
covtype_binary_20000,31,100,budget_prune,na,,100,0.7574617506897416,0.8261568480300188,0.7730038751780723,0.13449604139160196,0.85575
covtype_binary_20000,31,100,loro_bce,na,,100,0.7572446555819478,0.8187979987492182,0.7991993081341181,0.14281789810968146,0.841
covtype_binary_20000,31,100,c_prune_loro_bce,0.75,91,91,0.8000981113563895,0.8742806754221388,0.8561152656684994,0.058502283796541515,0.93675
covtype_binary_20000,31,100,c_prune_loro_bce,0.85,102,100,0.8023598820058997,0.8746281425891183,0.8565762532544385,0.056937364127877955,0.938
covtype_binary_20000,31,100,c_prune_loro_bce,0.9,110,100,0.8032384690873405,0.8761228267667291,0.8590656688874472,0.05552766167870577,0.942
covtype_binary_20000,37,25,budget_prune,na,,25,0.7458227848101265,0.8178331457160726,0.7566739392184411,0.1621024719073176,0.826
covtype_binary_20000,37,25,loro_bce,na,,25,0.4570751924215512,0.5437368355222014,0.5405325565742582,0.3131631989417273,0.539
covtype_binary_20000,37,25,c_prune_loro_bce,0.75,81,25,0.7700025081514924,0.8420605378361475,0.8027850660113545,0.1388575492712073,0.85125
covtype_binary_20000,37,25,c_prune_loro_bce,0.85,91,25,0.7700025081514924,0.8420605378361475,0.8027850660113545,0.1388575492712073,0.85125
covtype_binary_20000,37,25,c_prune_loro_bce,0.9,104,25,0.7700025081514924,0.8420605378361475,0.8027850660113545,0.1388575492712073,0.85125
covtype_binary_20000,37,50,budget_prune,na,,50,0.7583227445997459,0.8250336460287679,0.7762071753600164,0.15741679359695987,0.83225
covtype_binary_20000,37,50,loro_bce,na,,50,0.7379310344827587,0.8046544090056286,0.7847611920990738,0.18157841714641473,0.8035
covtype_binary_20000,37,50,c_prune_loro_bce,0.75,81,50,0.7974212744854947,0.8749941213258285,0.8535108779408356,0.08648375775142927,0.90925
covtype_binary_20000,37,50,c_prune_loro_bce,0.85,91,50,0.7958271236959762,0.8731229518449031,0.8447256331951799,0.09329112593616819,0.9035
covtype_binary_20000,37,50,c_prune_loro_bce,0.9,104,50,0.7994019436830302,0.8776873045653533,0.8547431593007425,0.08509046273949421,0.90425
covtype_binary_20000,37,100,budget_prune,na,,100,0.7699001791656002,0.8415907442151345,0.8031399531527565,0.14543538364107828,0.84175
covtype_binary_20000,37,100,loro_bce,na,,100,0.7776944236059015,0.8559367104440275,0.8264702814295853,0.11820601670437968,0.87375
covtype_binary_20000,37,100,c_prune_loro_bce,0.75,81,81,0.8053491827637445,0.8815514696685429,0.8617696194704311,0.07245382568296027,0.9255
covtype_binary_20000,37,100,c_prune_loro_bce,0.85,91,91,0.8037801541904999,0.8809495934959349,0.8595259867739552,0.0720267785689158,0.92075
covtype_binary_20000,37,100,c_prune_loro_bce,0.9,104,100,0.8041749502982107,0.8852082551594747,0.8681253639292763,0.06289838028384093,0.9255
covtype_binary_20000,41,25,budget_prune,na,,25,0.7433182047402925,0.8107026891807378,0.7562098057449455,0.16874728478133558,0.81575
covtype_binary_20000,41,25,loro_bce,na,,25,0.5237834882449426,0.5870383989993746,0.5790356616278989,0.31537456775701456,0.56075
covtype_binary_20000,41,25,c_prune_loro_bce,0.75,91,25,0.790515766316304,0.8615959974984364,0.8372932380430198,0.09935976509227279,0.9005
covtype_binary_20000,41,25,c_prune_loro_bce,0.85,106,25,0.7803311094638004,0.8530313946216384,0.8289461815620349,0.11987156258557322,0.878
covtype_binary_20000,41,25,c_prune_loro_bce,0.9,115,25,0.7803311094638004,0.8530313946216384,0.8289461815620349,0.11987156258557322,0.878
covtype_binary_20000,41,50,budget_prune,na,,50,0.7495577457669952,0.8192425265791119,0.7696465994992621,0.16152690663053865,0.8255
covtype_binary_20000,41,50,loro_bce,na,,50,0.6458762886597939,0.7150268918073795,0.676686489072379,0.26191409411035776,0.69175
covtype_binary_20000,41,50,c_prune_loro_bce,0.75,91,50,0.8032705649157582,0.8732430268918073,0.8513746804142073,0.07160674834565484,0.93125
covtype_binary_20000,41,50,c_prune_loro_bce,0.85,106,50,0.8049079754601227,0.8715026891807379,0.8509424028222027,0.08173924723137642,0.924
covtype_binary_20000,41,50,c_prune_loro_bce,0.9,115,50,0.8045186640471512,0.8709070669168231,0.8498218384713172,0.08174625169721046,0.92425
covtype_binary_20000,41,100,budget_prune,na,,100,0.762750570921086,0.8371234521575985,0.7924693512012073,0.1358961140369037,0.8625
covtype_binary_20000,41,100,loro_bce,na,,100,0.7945867568873852,0.8627629768605377,0.836512335302265,0.10004328597570497,0.90325
covtype_binary_20000,41,100,c_prune_loro_bce,0.75,91,91,0.8044776119402985,0.8777295809881175,0.8592418307510283,0.06534687326152125,0.93275
covtype_binary_20000,41,100,c_prune_loro_bce,0.85,106,100,0.8030868807567837,0.87740162601626,0.8592851203493614,0.06494859894263139,0.9305
covtype_binary_20000,41,100,c_prune_loro_bce,0.9,115,100,0.8058955783162628,0.8799362101313322,0.8610013069156435,0.060047863037735065,0.933
covtype_binary_20000,43,25,budget_prune,na,,25,0.7414931437277806,0.8116012507817385,0.7624425135001713,0.16774489229826564,0.80925
covtype_binary_20000,43,25,loro_bce,na,,25,0.488118535085267,0.5508647904940588,0.5361728419472198,0.3117802104373401,0.5225
covtype_binary_20000,43,25,c_prune_loro_bce,0.75,88,25,0.7481481481481481,0.7928152595372109,0.7430320866071216,0.18259526816975555,0.81425
covtype_binary_20000,43,25,c_prune_loro_bce,0.85,98,25,0.7481481481481481,0.7928152595372109,0.7430320866071216,0.18259526816975555,0.81425
covtype_binary_20000,43,25,c_prune_loro_bce,0.9,110,25,0.7456059204440333,0.7915207004377736,0.7437002764076276,0.1836869790524624,0.81375
covtype_binary_20000,43,50,budget_prune,na,,50,0.7648710748021444,0.8366061288305191,0.7976368388111753,0.1463940865994242,0.8395
covtype_binary_20000,43,50,loro_bce,na,,50,0.61913499344692,0.6815174484052532,0.657345832441406,0.2744989979461084,0.634
covtype_binary_20000,43,50,c_prune_loro_bce,0.75,88,50,0.7858917039244908,0.8590226391494684,0.8301241119315841,0.10674457791789115,0.86825
covtype_binary_20000,43,50,c_prune_loro_bce,0.85,98,50,0.7858029287664433,0.858869793621013,0.8299441741054361,0.10676879791824573,0.8675
covtype_binary_20000,43,50,c_prune_loro_bce,0.9,110,50,0.7897994553107205,0.8591417135709819,0.8302802956066191,0.10670246742587326,0.8705
covtype_binary_20000,43,100,budget_prune,na,,100,0.7707217546544249,0.8421958724202627,0.801000111568916,0.14106743648660003,0.8455
covtype_binary_20000,43,100,loro_bce,na,,100,0.7388928486576384,0.8055742338961851,0.7828439236270475,0.17419499466268892,0.7905
covtype_binary_20000,43,100,c_prune_loro_bce,0.75,88,88,0.8054320987654321,0.875655784865541,0.845363613740778,0.0743947018415727,0.90175
covtype_binary_20000,43,100,c_prune_loro_bce,0.85,98,98,0.8042563721851027,0.8782141338336461,0.8484350556070898,0.06760879295984835,0.9085
covtype_binary_20000,43,100,c_prune_loro_bce,0.9,110,100,0.8040573973280554,0.8785776110068795,0.8517761813824758,0.06400180393021843,0.91375
