dataset,budget,method,corr_threshold,seed_a,seed_b,rule_jaccard
covtype_binary_20000,25,c_prune_loro_bce,0.9,41,43,0.06382978723404255
covtype_binary_20000,50,budget_prune,na,1,7,0.20987654320987653
covtype_binary_20000,50,budget_prune,na,1,13,0.2857142857142857
covtype_binary_20000,50,budget_prune,na,1,19,0.13793103448275862
covtype_binary_20000,50,budget_prune,na,1,23,0.125
covtype_binary_20000,50,budget_prune,na,1,29,0.13793103448275862
covtype_binary_20000,50,budget_prune,na,1,31,0.2073170731707317
covtype_binary_20000,50,budget_prune,na,1,37,0.1927710843373494
covtype_binary_20000,50,budget_prune,na,1,41,0.1927710843373494
covtype_binary_20000,50,budget_prune,na,1,43,0.2073170731707317
covtype_binary_20000,50,budget_prune,na,7,13,0.17857142857142858
covtype_binary_20000,50,budget_prune,na,7,19,0.13793103448275862
covtype_binary_20000,50,budget_prune,na,7,23,0.08791208791208792
covtype_binary_20000,50,budget_prune,na,7,29,0.08791208791208792
covtype_binary_20000,50,budget_prune,na,7,31,0.16470588235294117
covtype_binary_20000,50,budget_prune,na,7,37,0.1927710843373494
covtype_binary_20000,50,budget_prune,na,7,41,0.17857142857142858
covtype_binary_20000,50,budget_prune,na,7,43,0.1511627906976744
covtype_binary_20000,50,budget_prune,na,13,19,0.14942528735632185
covtype_binary_20000,50,budget_prune,na,13,23,0.16279069767441862
covtype_binary_20000,50,budget_prune,na,13,29,0.14942528735632185
covtype_binary_20000,50,budget_prune,na,13,31,0.2345679012345679
covtype_binary_20000,50,budget_prune,na,13,37,0.2345679012345679
covtype_binary_20000,50,budget_prune,na,13,41,0.17647058823529413
covtype_binary_20000,50,budget_prune,na,13,43,0.2987012987012987
covtype_binary_20000,50,budget_prune,na,19,23,0.3333333333333333
covtype_binary_20000,50,budget_prune,na,19,29,0.2987012987012987
covtype_binary_20000,50,budget_prune,na,19,31,0.07526881720430108
covtype_binary_20000,50,budget_prune,na,19,37,0.17647058823529413
covtype_binary_20000,50,budget_prune,na,19,41,0.08695652173913043
covtype_binary_20000,50,budget_prune,na,19,43,0.12359550561797752
covtype_binary_20000,50,budget_prune,na,23,29,0.35135135135135137
covtype_binary_20000,50,budget_prune,na,23,31,0.07526881720430108
covtype_binary_20000,50,budget_prune,na,23,37,0.13636363636363635
covtype_binary_20000,50,budget_prune,na,23,41,0.16279069767441862
covtype_binary_20000,50,budget_prune,na,23,43,0.1111111111111111
covtype_binary_20000,50,budget_prune,na,29,31,0.0989010989010989
covtype_binary_20000,50,budget_prune,na,29,37,0.17647058823529413
covtype_binary_20000,50,budget_prune,na,29,41,0.08695652173913043
covtype_binary_20000,50,budget_prune,na,29,43,0.13636363636363635
covtype_binary_20000,50,budget_prune,na,31,37,0.20481927710843373
covtype_binary_20000,50,budget_prune,na,31,41,0.13636363636363635
covtype_binary_20000,50,budget_prune,na,31,43,0.20481927710843373
covtype_binary_20000,50,budget_prune,na,37,41,0.16279069767441862
covtype_binary_20000,50,budget_prune,na,37,43,0.25
covtype_binary_20000,50,budget_prune,na,41,43,0.13636363636363635
covtype_binary_20000,50,loro_bce,na,1,7,0.14942528735632185
covtype_binary_20000,50,loro_bce,na,1,13,0.21951219512195122
covtype_binary_20000,50,loro_bce,na,1,19,0.08695652173913043
covtype_binary_20000,50,loro_bce,na,1,23,0.07526881720430108
covtype_binary_20000,50,loro_bce,na,1,29,0.08695652173913043
covtype_binary_20000,50,loro_bce,na,1,31,0.21951219512195122
covtype_binary_20000,50,loro_bce,na,1,37,0.14942528735632185
covtype_binary_20000,50,loro_bce,na,1,41,0.13636363636363635
covtype_binary_20000,50,loro_bce,na,1,43,0.14942528735632185
covtype_binary_20000,50,loro_bce,na,7,13,0.14942528735632185
covtype_binary_20000,50,loro_bce,na,7,19,0.07526881720430108
covtype_binary_20000,50,loro_bce,na,7,23,0.06382978723404255
covtype_binary_20000,50,loro_bce,na,7,29,0.1111111111111111
covtype_binary_20000,50,loro_bce,na,7,31,0.08695652173913043
covtype_binary_20000,50,loro_bce,na,7,37,0.21951219512195122
covtype_binary_20000,50,loro_bce,na,7,41,0.26582278481012656
covtype_binary_20000,50,loro_bce,na,7,43,0.13636363636363635
covtype_binary_20000,50,loro_bce,na,13,19,0.08695652173913043
covtype_binary_20000,50,loro_bce,na,13,23,0.07526881720430108
covtype_binary_20000,50,loro_bce,na,13,29,0.07526881720430108
covtype_binary_20000,50,loro_bce,na,13,31,0.13636363636363635
covtype_binary_20000,50,loro_bce,na,13,37,0.14942528735632185
covtype_binary_20000,50,loro_bce,na,13,41,0.13636363636363635
covtype_binary_20000,50,loro_bce,na,13,43,0.08695652173913043
covtype_binary_20000,50,loro_bce,na,19,23,0.13636363636363635
covtype_binary_20000,50,loro_bce,na,19,29,0.06382978723404255
covtype_binary_20000,50,loro_bce,na,19,31,0.08695652173913043
covtype_binary_20000,50,loro_bce,na,19,37,0.06382978723404255
covtype_binary_20000,50,loro_bce,na,19,41,0.07526881720430108
covtype_binary_20000,50,loro_bce,na,19,43,0.06382978723404255
covtype_binary_20000,50,loro_bce,na,23,29,0.13636363636363635
covtype_binary_20000,50,loro_bce,na,23,31,0.06382978723404255
covtype_binary_20000,50,loro_bce,na,23,37,0.05263157894736842
covtype_binary_20000,50,loro_bce,na,23,41,0.07526881720430108
covtype_binary_20000,50,loro_bce,na,23,43,0.06382978723404255
covtype_binary_20000,50,loro_bce,na,29,31,0.06382978723404255
covtype_binary_20000,50,loro_bce,na,29,37,0.12359550561797752
covtype_binary_20000,50,loro_bce,na,29,41,0.12359550561797752
covtype_binary_20000,50,loro_bce,na,29,43,0.05263157894736842
covtype_binary_20000,50,loro_bce,na,31,37,0.12359550561797752
covtype_binary_20000,50,loro_bce,na,31,41,0.0989010989010989
covtype_binary_20000,50,loro_bce,na,31,43,0.0989010989010989
covtype_binary_20000,50,loro_bce,na,37,41,0.21951219512195122
covtype_binary_20000,50,loro_bce,na,37,43,0.14942528735632185
covtype_binary_20000,50,loro_bce,na,41,43,0.12359550561797752
covtype_binary_20000,50,c_prune_loro_bce,0.75,1,7,0.041666666666666664
covtype_binary_20000,50,c_prune_loro_bce,0.75,1,13,0.06382978723404255
covtype_binary_20000,50,c_prune_loro_bce,0.75,1,19,0.030927835051546393
covtype_binary_20000,50,c_prune_loro_bce,0.75,1,23,0.05263157894736842
covtype_binary_20000,50,c_prune_loro_bce,0.75,1,29,0.08695652173913043
covtype_binary_20000,50,c_prune_loro_bce,0.75,1,31,0.06382978723404255
covtype_binary_20000,50,c_prune_loro_bce,0.75,1,37,0.06382978723404255
covtype_binary_20000,50,c_prune_loro_bce,0.75,1,41,0.05263157894736842
covtype_binary_20000,50,c_prune_loro_bce,0.75,1,43,0.030927835051546393
covtype_binary_20000,50,c_prune_loro_bce,0.75,7,13,0.041666666666666664
covtype_binary_20000,50,c_prune_loro_bce,0.75,7,19,0.0989010989010989
covtype_binary_20000,50,c_prune_loro_bce,0.75,7,23,0.08695652173913043
covtype_binary_20000,50,c_prune_loro_bce,0.75,7,29,0.041666666666666664
covtype_binary_20000,50,c_prune_loro_bce,0.75,7,31,0.041666666666666664
covtype_binary_20000,50,c_prune_loro_bce,0.75,7,37,0.030927835051546393
covtype_binary_20000,50,c_prune_loro_bce,0.75,7,41,0.030927835051546393
covtype_binary_20000,50,c_prune_loro_bce,0.75,7,43,0.07526881720430108
covtype_binary_20000,50,c_prune_loro_bce,0.75,13,19,0.05263157894736842
covtype_binary_20000,50,c_prune_loro_bce,0.75,13,23,0.06382978723404255
covtype_binary_20000,50,c_prune_loro_bce,0.75,13,29,0.010101010101010102
covtype_binary_20000,50,c_prune_loro_bce,0.75,13,31,0.041666666666666664
covtype_binary_20000,50,c_prune_loro_bce,0.75,13,37,0.041666666666666664
covtype_binary_20000,50,c_prune_loro_bce,0.75,13,41,0.06382978723404255
covtype_binary_20000,50,c_prune_loro_bce,0.75,13,43,0.041666666666666664
covtype_binary_20000,50,c_prune_loro_bce,0.75,19,23,0.0989010989010989
covtype_binary_20000,50,c_prune_loro_bce,0.75,19,29,0.02040816326530612
covtype_binary_20000,50,c_prune_loro_bce,0.75,19,31,0.041666666666666664
covtype_binary_20000,50,c_prune_loro_bce,0.75,19,37,0.05263157894736842
covtype_binary_20000,50,c_prune_loro_bce,0.75,19,41,0.041666666666666664
covtype_binary_20000,50,c_prune_loro_bce,0.75,19,43,0.030927835051546393
covtype_binary_20000,50,c_prune_loro_bce,0.75,23,29,0.041666666666666664
covtype_binary_20000,50,c_prune_loro_bce,0.75,23,31,0.030927835051546393
covtype_binary_20000,50,c_prune_loro_bce,0.75,23,37,0.02040816326530612
covtype_binary_20000,50,c_prune_loro_bce,0.75,23,41,0.030927835051546393
covtype_binary_20000,50,c_prune_loro_bce,0.75,23,43,0.08695652173913043
covtype_binary_20000,50,c_prune_loro_bce,0.75,29,31,0.06382978723404255
covtype_binary_20000,50,c_prune_loro_bce,0.75,29,37,0.02040816326530612
covtype_binary_20000,50,c_prune_loro_bce,0.75,29,41,0.05263157894736842
covtype_binary_20000,50,c_prune_loro_bce,0.75,29,43,0.030927835051546393
covtype_binary_20000,50,c_prune_loro_bce,0.75,31,37,0.05263157894736842
covtype_binary_20000,50,c_prune_loro_bce,0.75,31,41,0.07526881720430108
covtype_binary_20000,50,c_prune_loro_bce,0.75,31,43,0.030927835051546393
covtype_binary_20000,50,c_prune_loro_bce,0.75,37,41,0.030927835051546393
covtype_binary_20000,50,c_prune_loro_bce,0.75,37,43,0.06382978723404255
covtype_binary_20000,50,c_prune_loro_bce,0.75,41,43,0.02040816326530612
covtype_binary_20000,50,c_prune_loro_bce,0.85,1,7,0.05263157894736842
covtype_binary_20000,50,c_prune_loro_bce,0.85,1,13,0.06382978723404255
covtype_binary_20000,50,c_prune_loro_bce,0.85,1,19,0.041666666666666664
covtype_binary_20000,50,c_prune_loro_bce,0.85,1,23,0.05263157894736842
covtype_binary_20000,50,c_prune_loro_bce,0.85,1,29,0.0989010989010989
covtype_binary_20000,50,c_prune_loro_bce,0.85,1,31,0.06382978723404255
covtype_binary_20000,50,c_prune_loro_bce,0.85,1,37,0.07526881720430108
covtype_binary_20000,50,c_prune_loro_bce,0.85,1,41,0.05263157894736842
covtype_binary_20000,50,c_prune_loro_bce,0.85,1,43,0.030927835051546393
covtype_binary_20000,50,c_prune_loro_bce,0.85,7,13,0.041666666666666664
covtype_binary_20000,50,c_prune_loro_bce,0.85,7,19,0.1111111111111111
covtype_binary_20000,50,c_prune_loro_bce,0.85,7,23,0.08695652173913043
covtype_binary_20000,50,c_prune_loro_bce,0.85,7,29,0.06382978723404255
covtype_binary_20000,50,c_prune_loro_bce,0.85,7,31,0.05263157894736842
covtype_binary_20000,50,c_prune_loro_bce,0.85,7,37,0.02040816326530612
covtype_binary_20000,50,c_prune_loro_bce,0.85,7,41,0.02040816326530612
covtype_binary_20000,50,c_prune_loro_bce,0.85,7,43,0.07526881720430108
covtype_binary_20000,50,c_prune_loro_bce,0.85,13,19,0.06382978723404255
covtype_binary_20000,50,c_prune_loro_bce,0.85,13,23,0.05263157894736842
covtype_binary_20000,50,c_prune_loro_bce,0.85,13,29,0.010101010101010102
covtype_binary_20000,50,c_prune_loro_bce,0.85,13,31,0.05263157894736842
covtype_binary_20000,50,c_prune_loro_bce,0.85,13,37,0.041666666666666664
covtype_binary_20000,50,c_prune_loro_bce,0.85,13,41,0.05263157894736842
covtype_binary_20000,50,c_prune_loro_bce,0.85,13,43,0.041666666666666664
