dataset,budget,method,corr_threshold,seed_a,seed_b,rule_jaccard,meta_cluster_jaccard
covtype_binary_20000,25,c_prune_loro_bce,0.75,19,43,0.0,0.3157894736842105
covtype_binary_20000,25,c_prune_loro_bce,0.75,23,29,0.02040816326530612,0.46153846153846156
covtype_binary_20000,25,c_prune_loro_bce,0.75,23,31,0.0,0.4666666666666667
covtype_binary_20000,25,c_prune_loro_bce,0.75,23,37,0.0,0.5333333333333333
covtype_binary_20000,25,c_prune_loro_bce,0.75,23,41,0.02040816326530612,0.4117647058823529
covtype_binary_20000,25,c_prune_loro_bce,0.75,23,43,0.06382978723404255,0.47058823529411764
covtype_binary_20000,25,c_prune_loro_bce,0.75,29,31,0.08695652173913043,0.3125
covtype_binary_20000,25,c_prune_loro_bce,0.75,29,37,0.02040816326530612,0.375
covtype_binary_20000,25,c_prune_loro_bce,0.75,29,41,0.06382978723404255,0.2777777777777778
covtype_binary_20000,25,c_prune_loro_bce,0.75,29,43,0.041666666666666664,0.2631578947368421
covtype_binary_20000,25,c_prune_loro_bce,0.75,31,37,0.041666666666666664,0.47058823529411764
covtype_binary_20000,25,c_prune_loro_bce,0.75,31,41,0.041666666666666664,0.5294117647058824
covtype_binary_20000,25,c_prune_loro_bce,0.75,31,43,0.041666666666666664,0.42105263157894735
covtype_binary_20000,25,c_prune_loro_bce,0.75,37,41,0.041666666666666664,0.35
covtype_binary_20000,25,c_prune_loro_bce,0.75,37,43,0.06382978723404255,0.5555555555555556
covtype_binary_20000,25,c_prune_loro_bce,0.75,41,43,0.041666666666666664,0.38095238095238093
covtype_binary_20000,50,budget_prune,0.75,1,7,0.20987654320987653,0.8181818181818182
covtype_binary_20000,50,budget_prune,0.75,1,13,0.2857142857142857,0.5454545454545454
covtype_binary_20000,50,budget_prune,0.75,1,19,0.13793103448275862,0.6363636363636364
covtype_binary_20000,50,budget_prune,0.75,1,23,0.125,0.7
covtype_binary_20000,50,budget_prune,0.75,1,29,0.13793103448275862,0.5454545454545454
covtype_binary_20000,50,budget_prune,0.75,1,31,0.2073170731707317,0.5555555555555556
covtype_binary_20000,50,budget_prune,0.75,1,37,0.1927710843373494,0.5454545454545454
covtype_binary_20000,50,budget_prune,0.75,1,41,0.1927710843373494,0.8888888888888888
