bootstrap_iter,seed,budget,method,f1,roc_auc,pr_auc,fidelity,agreement,effective_selected_rules
1,23,25,loro_bce,0.7612053684477083,0.8408155096935586,0.816449523240124,0.06468717191909415,0.92725,25
1,23,25,c_prune_loro_bce,0.7625935162094764,0.8443594746716697,0.817103877339983,0.05319426980873797,0.9435,25
1,23,50,budget_prune,0.6641179683233206,0.7580475297060664,0.7596810376221044,0.19038145191376127,0.758,50
1,23,50,loro_bce,0.7673328398717,0.8465215759849907,0.8210483981804811,0.05139883779301526,0.94925,50
1,23,50,c_prune_loro_bce,0.7737656595431098,0.8536580362726703,0.825486489019382,0.03519811947777335,0.96525,50
1,23,100,budget_prune,0.771964461994077,0.8475714821763602,0.8235250035241233,0.050969020561696415,0.953,100
1,23,100,loro_bce,0.7687761635065254,0.8495964978111319,0.8243917440877444,0.045069968587383914,0.95275,100
1,23,100,c_prune_loro_bce,0.7791441219872111,0.8555877423389618,0.8280532808396558,0.038456688539866474,0.9625,74
1,29,25,budget_prune,0.7503700049333991,0.8027907442151345,0.7674060847727495,0.09575711036561317,0.89625,25
1,29,25,loro_bce,0.7695694716242661,0.8278531582238898,0.7874105908900135,0.05833437331027317,0.93925,25
1,29,25,c_prune_loro_bce,0.7755501222493888,0.836637148217636,0.7976165917205995,0.03700649059960493,0.97025,25
1,29,50,budget_prune,0.7707196029776675,0.8282641651031897,0.7855833118084197,0.05736537880388519,0.93825,50
1,29,50,loro_bce,0.7837771805521623,0.8392555347091931,0.8023441198264025,0.032321987946093415,0.975,50
1,29,50,c_prune_loro_bce,0.7814859926918393,0.8402591619762352,0.7964330018497862,0.033546664890507547,0.971,50
1,29,100,budget_prune,0.7830119599707103,0.8372797998749218,0.7951219130084939,0.0399654944483883,0.9625,100
1,29,100,loro_bce,0.7837969741337237,0.8401768605378362,0.7996423121757916,0.03203388272482917,0.97525,100
1,29,100,c_prune_loro_bce,0.7859065329092244,0.8433588492808005,0.8011284805514323,0.037831651555082814,0.9625,80
2,19,25,budget_prune,0.22192866578599735,0.587172607879925,0.591725306394452,0.24242787481955294,0.5895,25
2,19,25,loro_bce,0.7372116349047142,0.8116730456535335,0.775472234161016,0.09594995645430528,0.89275,25
